PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913KT,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P1",,X2
F9913KU,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P2",,X2
F9913KV,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P7",,X2
F9913KX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,PR",,X2
F9913SC,COVER,1,,,,,,,2,,N,,,,"PR,X2"
F9913SE,"Meter Cover for Case""2""",1,,,,,,,2,,"D,E",,,,"HE,PR,X2"
F9913SD,COVER,1,,,,,,,2,,N,,PR,,X2
F9913JY,METER COVER,1,,,,,,,2,,"D,E",,PR,,"HE,X2"
F9913KZ,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,HE,,"PR,X2"
F9913KY,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,"HE,PR",,X2
F9913GX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,3,,"D,E",,PR,,"HE,P1,P2,P7,X2"
F9913HX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,3,,"D,E",,"HE,PR",,"P1,P2,P7,X2"
F9913DP,BLIND COVER,1,,"EJA510E,EJA530E",,,,,3,,N,,PR,,"P1,P2,P7,X2"
F9913TS,"Meter Cover for Case""1""",1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913TS,"Meter Cover for Case""1""",1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913VS,"Meter Cover for Case""1"" with /X2",1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913KS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913CS,"Meter Cover for Case""3""",1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913HA,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913GS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913HS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913TJ,Case 1 - Blind Cover,1,2,,,,,,1,,N,,,,"P1,P2,P7,PR,X2"
F9913VJ,Case 1 - Blind Cover with /X2,1,2,,,,,,1,,N,,X2,,"P1,P2,P7,PR"
F9913CJ,BLIND COVER,1,2,"EJA510E,EJA530E",,,,,3,,N,,,,"P1,P2,P7,PR,X2"
F9913DJ,BLIND COVER,1,2,"EJA510E,EJA530E",,,,,3,,N,,X2,,"P1,P2,P7,PR"
F9805ZT,LABEL,1,,,,,,,,,,,,,
F9903HF,BLIND COVER,1,,"EJA510E,EJA530E",,,,,2,,N,,X2,,"P1,P2,P7,PR"
F9903HG,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9903HH,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9900GQ,Blind Plug - SS304 G1/2,1,,,,,,,1,5,,,,,HE
F9900GL,PLUG,1,,,,,,,"1,2",A,,,,,
F9913MY,Blind Plug - SS304 1/2 NPT (E-Conn 7),1,,,,,,,"1,3",7,,,,,
F9913MZ,Blind Plug - SS304 M20,1,,,,,,,"1,2,3",C,,,,,
F9900GP,Blind Plug - SS304 M20,1,,,,,,,"1,3",9,,,,,HE
F9900GK,Blind Plug - SS316 M20,1,,,,,,,"1,2,3",D,,,,,
F9900GY,PLUG,1,,"EJA510E,EJA530E",,,,,1,5,,,HE,,
F9900GX,PLUG,1,,"EJA510E,EJA530E",,,,,"1,3",9,,,HE,,
G9330DB,Red cap for EC (EJA110 or 430 or 530) & Process connection (EJA530 - 4),1,,,,,,,,"2,4",,,,,
G9330DB,Red cap for EC (EJA110 or 430 or 530) & Process connection (EJA530 - 4),1,,,,,,,,"0,2,4,5,7,9,A,C,D",,,,,PP
F9900GB,Gasket for SS316 Blind Plug (M20),1,,,,,,,,"A,D",,,,,HE
F9900GW,O-RING,1,,,,,,,,"A,D",,,HE,,
F9275EJ,BALL,1,,,,,,P,,,,,,,
F9344XA,SCREW,1,,,,,,P,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,,P,,,,,,,
F9300AF,Capsule Oil seal hole closing plate,1,,,,,,P,,,,,,,
F9940WF,Pipe Assy.  for EJA530 - A or B or C,1,,EJA530E,,"A,B,C",,,,,,,,,
F9900SF,"Mounting Bracket - SS316 for EJA530
 or for bottom PC (EJA110 or 430)",1,,,,,,,,,,L,,,
G9330DB,Red cap for EC (EJA110 or 430 or 530) & Process connection (EJA530 - 4),1,,,,,,"2,4",,,,,,,
G9330CB,White cap for Process connection (EJA530 - 7 or 8),1,,,,,,"6,7,8,A",,,,,,,
X9947QF,796A981 CAP,1,,,,,,9,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,H,,,,,,,,
F9940WJ,Hook  for EJA530 - D capsule,1,,,,D,,,,,,,,,
F9275ZZ,Oil free label for /K1 or /K2 option,1,,,,,,,,,,,,"K1,K2,K41,K42",
F9900MK,LABEL,1,,,,,,,,,,,,"K45,K46,K5,K6",
F9340ND,Oil prohibuted use label (to past on Trx. Poly cover incase of /K1 or /K2 or /K5 or /K6),1,,,,,,,,,,,,"K1,K2,K41,K42,K45,K46,K5,K6",
C1016EZ,SOLID SUB-MATERIALS,1,,,,,,,,,,,,"K45,K46,K5,K6",
X9930CX,POLY BAG,1,,,,,,,,,,,,"K1,K2,K41,K42,K45,K46,K5,K6",
F9900RM,SS316 Tag plate when /N4,1,,,,,,,"1,3",,,,,N4,
F9900RM,SS316 Tag plate when /N4,1,,,,,,,2,,,,,N4,
F9900GG,Ring for Tag plate when /N4,1,,,,,,,,,,,N4,,
F9900RF,Certification Tag Plate,1,,,,,,,,,,,,"FU1,FS1,FF1,CU1,CS1,CF1,NF2,KS21,KF22,KU22,KN26,SF2,SF22,NS21,PF22,PS21,GF11,GS11,GS16,GU11,SU21,SU22,UF1,US1,JS4,NS25,NF21,GF21,GS21,GU21,GF12,GS12,GU12,PF23,KS26,SS26,FS15,CS15,JF5",
F9900RG,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-1 or 3",2,,,,,,,"1,3",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,JF5,JS4,NF2,NF21,NS21,NS25,SF2,SS26,SU21,SU22",
F9900RG,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-1 or 3",2,,,,,,,"1,3",,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PF23,PS21,SF22,UF1,US1",
F9900RR,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-2",2,,,,,,,2,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,NF2,NF21,NS21,NS25,SF2,SS26,SU21,SU22",
F9900RR,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-2",2,,,,,,,2,,,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PF23,PS21,SF22,UF1,US1",
F9900RP,Cover lock screw (bolt) incase of Flame proof cert.- case 1 or 2,2,,,,,,,"1,2",,,,,"GF11,GF12,GF21,GU11,GU12,GU21,JF3,JF5,KF22,KU22,NF2,NF21,PF22,PF23,SF2,SF22,SU21,SU22,UF1",
